datetime,open,high,low,close,volume,previous_close,mom,rsi,mfi
2022-10-25,1802.28,1880.23,1802.28,1874.61,324800,1808.56,198.99,61.35,58.63
2022-10-24,1813.02,1828.64,1764.00,1808.56,313800,1822.79,173.95,55.25,51.44
2022-10-21,1772.03,1829.30,1760.02,1822.79,306900,1773.62,151.46,57.05,59.39
2022-10-20,1769.61,1827.00,1763.57,1773.62,345100,1771.82,88.46,52.03,59.81
2022-10-19,1750.87,1799.98,1750.87,1771.82,313600,1773.96,62.09,51.84,51.50
2022-10-18,1800.11,1815.59,1750.48,1773.96,367400,1747.49,47.25,52.07,51.37
2022-10-17,1703.26,1751.99,1701.34,1747.49,318800,1670.49,-11.55,49.50,51.36
2022-10-14,1715.27,1735.86,1667.25,1670.49,389000,1692.13,-8.44,40.97,44.59
2022-10-13,1626.23,1710.91,1616.85,1692.13,477700,1675.62,48.92,42.86,45.19
2022-10-12,1643.98,1682.56,1629.01,1675.62,290800,1634.61,-3.30,40.93,35.51
2022-10-11,1671.33,1671.33,1620.84,1634.61,304700,1671.33,-92.27,35.94,28.78
2022-10-10,1699.25,1701.65,1657.61,1671.33,278300,1685.16,2.17,38.65,28.26
2022-10-07,1680.77,1699.03,1668.12,1685.16,443400,1709.73,15.91,39.70,33.66
2022-10-06,1723.67,1732.91,1692.61,1709.73,371300,1726.71,39.85,41.56,34.48
2022-10-05,1726.81,1745.00,1709.57,1726.71,350300,1759.04,6.13,42.85,31.75
2022-10-04,1728.99,1765.53,1727.20,1759.04,466100,1678.93,-47.66,45.34,38.14
2022-10-03,1672.44,1694.00,1626.22,1678.93,386900,1643.21,-217.70,36.92,36.84
2022-09-30,1658.97,1701.76,1641.87,1643.21,498400,1678.92,-259.78,32.62,30.54
2022-09-29,1690.55,1697.50,1659.69,1678.92,344800,1726.88,-197.53,34.82,38.12
2022-09-28,1661.88,1735.99,1652.94,1726.88,381900,1669.16,-229.89,38.02,45.67
2022-09-27,1696.50,1710.63,1655.39,1669.16,401300,1669.25,-298.22,30.92,46.69
2022-09-26,1677.68,1714.30,1669.00,1669.25,448900,1669.88,-251.55,30.93,52.74
2022-09-23,1696.15,1698.90,1646.04,1669.88,629000,1720.58,-343.44,30.96,46.83
2022-09-22,1806.00,1806.08,1715.00,1720.58,578800,1806.70,-260.45,33.68,54.25
2022-09-21,1888.21,1890.84,1805.89,1806.70,372600,1896.63,-99.32,39.09,54.00
2022-09-20,1887.73,1926.45,1878.83,1896.63,310500,1902.99,24.18,46.30,53.74
2022-09-19,1849.10,1910.00,1849.10,1902.99,267500,1876.45,88.14,46.87,48.36
2022-09-16,1934.00,1934.62,1854.39,1876.45,792000,1956.77,38.54,44.22,47.92
2022-09-15,1955.62,2015.05,1947.24,1956.77,380900,1967.38,104.26,51.43,51.31
2022-09-14,1916.78,1970.04,1897.12,1967.38,303000,1920.80,91.57,52.48,50.14
2022-09-13,1941.00,1967.79,1913.48,1920.80,396000,2013.32,40.57,48.16,49.49
2022-09-12,2010.21,2030.95,2000.26,2013.32,411500,1981.03,114.66,57.85,50.09
2022-09-09,1920.00,1984.99,1918.05,1981.03,526900,1906.02,70.07,54.91,41.46
2022-09-08,1843.30,1912.35,1829.79,1906.02,461800,1872.45,-102.52,46.93,33.04
2022-09-07,1824.19,1880.79,1807.15,1872.45,395100,1814.85,-118.51,42.72,30.08
2022-09-06,1837.91,1848.56,1780.09,1814.85,338400,1837.91,-177.98,34.42,22.61
2022-09-02,1863.86,1872.90,1818.96,1837.91,337600,1852.51,-134.76,36.38,29.01
2022-09-01,1859.00,1873.53,1801.91,1852.51,576900,1875.81,-234.41,37.64,30.42
2022-08-31,1891.62,1916.90,1873.42,1875.81,389600,1880.23,-268.92,39.67,39.58
2022-08-30,1921.00,1924.99,1869.89,1880.23,325300,1898.66,-249.42,40.05,48.21
2022-08-29,1897.00,1921.37,1886.10,1898.66,320400,1910.96,-252.68,41.60,56.71
2022-08-26,2013.53,2020.84,1908.00,1910.96,383800,2008.54,-218.80,42.62,56.88
2022-08-25,2000.00,2033.95,1994.96,2008.54,250400,1990.96,-112.44,52.03,64.80
2022-08-24,1971.98,2019.16,1970.49,1990.96,229100,1992.83,-72.80,50.19,65.70
2022-08-23,1975.97,2012.10,1975.64,1992.83,323400,1972.67,-30.86,50.39,54.41
2022-08-22,2018.43,2042.06,1969.08,1972.67,465000,2086.92,15.46,48.42,62.60
2022-08-19,2121.79,2129.30,2083.92,2086.92,236300,2144.73,131.12,61.16,70.86
2022-08-18,2118.87,2154.73,2108.71,2144.73,215900,2129.65,219.76,69.78,69.10
2022-08-17,2112.62,2143.06,2101.64,2129.65,256400,2151.34,182.40,68.71,69.92
2022-08-16,2116.27,2161.05,2115.20,2151.34,263700,2129.76,184.86,72.12,74.81
2022-08-15,2102.00,2157.97,2100.00,2129.76,377600,2120.98,173.46,70.78,75.23
2022-08-12,2083.96,2122.99,2072.35,2120.98,329700,2063.76,214.31,70.24,69.94
2022-08-11,2061.61,2098.68,2050.88,2063.76,378400,2023.69,128.07,66.50,69.75
2022-08-10,2000.02,2027.21,1980.64,2023.69,463800,1957.21,110.76,63.51,69.15
2022-08-09,1951.65,1957.21,1919.30,1957.21,299800,1955.80,79.63,57.71,62.60
2022-08-08,1922.88,1989.49,1922.88,1955.80,349700,1924.97,160.00,57.57,68.79
2022-08-05,1933.76,1955.92,1904.00,1924.97,383600,1947.25,90.30,54.68,69.14
2022-08-04,1900.83,1954.42,1875.57,1947.25,804600,1966.48,137.37,57.30,69.25
2022-08-03,1935.01,1974.07,1922.64,1966.48,613500,1956.30,137.07,59.59,81.76
2022-08-02,1906.67,1972.20,1902.80,1956.30,440000,1906.67,121.50,58.78,72.45
2022-08-01,1923.75,1924.58,1862.99,1906.67,408300,1935.69,71.87,54.67,66.45
2022-07-29,1913.61,1946.46,1900.01,1935.69,398600,1912.93,196.90,57.80,73.69
2022-07-28,1886.60,1913.26,1857.07,1912.93,320300,1877.58,214.34,55.97,66.84
2022-07-27,1836.76,1903.16,1836.76,1877.58,407500,1795.80,203.67,53.02,61.79
