datetime,open,high,low,close,volume,previous_close,mom,rsi,mfi
2022-05-13,118.91,120.62,118.49,119.69,1336860,117.93,-7.96,36.02,29.28
2022-05-12,117.45,118.29,115.66,117.93,2213867,118.22,-8.80,31.94,23.39
2022-05-11,118.08,119.66,117.62,118.22,2805912,120.13,-14.18,32.26,23.03
2022-05-10,122.33,123.05,118.85,120.13,2248891,120.27,-10.56,34.32,23.68
2022-05-09,123.16,123.16,119.67,120.27,2423651,124.16,-9.24,34.47,30.76
2022-05-06,123.57,124.92,122.41,124.16,1873355,124.59,-8.09,38.86,38.81
2022-05-05,131.38,131.69,123.39,124.59,2353480,132.47,-6.76,39.38,39.17
2022-05-04,128.59,132.90,127.73,132.47,1916451,128.55,-5.85,50.82,40.07
2022-05-03,128.24,129.04,127.28,128.55,1492153,127.65,-11.08,43.19,39.05
2022-05-02,126.89,128.91,125.15,127.65,1985968,126.73,-9.81,41.25,33.60
2022-04-29,131.99,132.00,126.45,126.73,1981541,132.40,-9.02,39.28,33.95
2022-04-28,131.87,133.19,130.46,132.40,1469420,130.69,-4.29,48.62,33.18
2022-04-27,130.69,132.89,130.18,130.69,1777671,129.51,-7.20,44.95,25.57
2022-04-26,131.46,132.31,129.50,129.51,2248914,132.25,-7.08,42.32,28.44
2022-04-25,131.51,132.30,128.35,132.25,2766153,131.35,-4.59,47.19,37.22
2022-04-22,137.72,137.84,131.14,131.35,2375629,138.32,-7.94,45.27,46.39
2022-04-21,140.12,141.27,137.90,138.32,1650807,139.63,-1.52,61.32,46.39
2022-04-20,138.51,140.18,138.33,139.63,1829846,137.46,-1.60,65.37,54.37
2022-04-19,135.94,137.85,134.85,137.46,2158796,135.75,-1.79,61.45,55.73
2022-04-18,135.91,137.19,134.93,135.75,1457855,136.69,-3.56,57.98,56.24
2022-04-14,137.89,138.51,136.43,136.69,1574919,137.89,-2.18,60.78,61.00
2022-04-13,137.15,138.27,136.00,137.89,1394136,136.59,1.42,64.46,65.33
2022-04-12,138.02,138.88,136.12,136.59,1359652,136.84,-0.30,62.15,64.95
2022-04-11,139.70,139.87,136.64,136.84,1575625,139.29,4.31,62.88,64.80
2022-04-08,139.01,140.90,138.41,139.29,2396688,139.84,9.42,70.39,69.46
2022-04-07,140.37,141.59,139.30,139.84,3452086,141.23,11.13,72.19,71.61
2022-04-06,138.98,141.92,138.13,141.23,2751556,139.25,13.49,76.80,82.92
2022-04-05,139.56,141.91,138.52,139.25,2723927,139.31,13.87,74.66,82.03
2022-04-04,139.26,139.61,137.20,139.31,2742180,138.87,11.86,74.85,81.07
2022-04-01,136.77,138.92,135.35,138.87,2305814,136.47,12.21,74.40,79.90
2022-03-31,137.91,140.67,136.41,136.47,3185568,136.89,8.34,71.83,84.23
2022-03-30,132.00,137.56,128.50,136.89,2875081,132.53,11.27,73.02,82.64
2022-03-29,130.76,132.76,130.15,132.53,2631171,129.87,7.98,67.89,75.66
2022-03-28,128.64,130.24,128.06,129.87,1812674,128.71,8.05,64.01,74.38
2022-03-25,127.95,128.95,126.72,128.71,1213424,127.74,8.82,62.15,65.70
2022-03-24,126.30,127.77,125.31,127.74,1125851,125.38,7.15,60.58,67.15
2022-03-23,126.84,126.84,125.28,125.38,1562753,127.45,3.19,56.49,68.24
2022-03-22,126.72,128.02,126.21,127.45,1398389,126.66,5.15,61.70,74.77
2022-03-21,127.45,127.91,125.10,126.66,1605282,128.13,8.23,60.41,74.60
2022-03-18,125.69,128.60,124.77,128.13,3561630,125.62,5.72,64.16,75.39
2022-03-17,124.37,125.70,123.54,125.62,1414094,124.55,2.04,60.25,72.99
2022-03-16,122.39,124.67,121.28,124.55,1450010,121.82,4.13,58.45,72.69
2022-03-15,120.93,121.91,118.93,121.82,1321844,119.89,1.44,53.47,63.22
2022-03-14,120.78,121.72,119.13,119.89,1116439,120.59,2.34,49.50,56.41
2022-03-11,123.11,124.47,120.46,120.59,1071014,122.19,1.53,50.97,55.03
2022-03-10,120.39,122.53,118.56,122.19,1317611,122.30,3.55,54.38,49.66
2022-03-09,120.67,122.72,119.50,122.30,1679589,118.43,6.51,54.62,48.57
2022-03-08,121.68,123.67,118.25,118.43,1958040,122.41,4.82,47.20,40.70
2022-03-07,123.55,124.83,121.92,122.41,2234138,123.58,6.82,55.93,48.30
2022-03-04,119.76,123.97,118.55,123.58,1967798,120.42,7.74,58.90,38.31
2022-03-03,121.54,121.98,119.99,120.42,1433624,120.38,4.07,52.58,30.10
2022-03-02,118.20,120.89,117.99,120.38,1332761,117.55,0.36,52.49,23.30
2022-03-01,118.88,119.55,116.84,117.55,1468508,119.06,-2.56,46.08,25.87
2022-02-28,117.25,119.37,116.85,119.06,1689279,118.64,0.58,49.39,31.63
2022-02-25,115.96,118.69,115.53,118.64,1259702,115.79,-0.27,48.43,30.90
2022-02-24,111.64,115.99,111.39,115.79,2456749,113.61,-4.58,41.48,25.62
2022-02-23,116.17,116.77,113.34,113.61,1743025,115.59,-10.51,35.28,25.95
2022-02-22,115.31,116.78,114.65,115.59,1746889,115.84,-5.43,38.74,33.13
2022-02-18,115.94,117.08,115.27,115.84,1453012,116.35,-4.13,39.19,39.97
2022-02-17,119.10,119.43,116.15,116.35,1898053,120.02,-3.56,40.07,46.37
2022-02-16,119.73,120.65,118.25,120.02,2175171,120.11,1.16,47.18,54.27
2022-02-15,119.66,120.14,118.83,120.11,1774646,118.48,0.00,47.37,53.15
2022-02-14,118.96,119.33,117.30,118.48,2687350,118.91,0.38,43.52,44.85
2022-02-11,119.58,121.22,118.66,118.91,2084839,120.37,1.15,44.31,52.83
2022-02-10,121.42,122.94,119.85,120.37,2448926,124.12,5.04,47.02,50.67
2022-02-09,122.41,124.30,121.84,124.12,2164265,121.02,12.52,55.03,51.00
2022-02-08,119.76,121.28,119.12,121.02,1569644,119.97,7.45,48.26,44.42
2022-02-07,120.00,120.71,119.07,119.97,1386591,119.91,1.20,45.69,39.21
2022-02-04,118.26,120.40,117.15,119.91,1892451,118.86,-0.18,45.55,34.25
2022-02-03,118.95,120.07,118.54,118.86,2009882,120.11,0.19,43.10,34.47
2022-02-02,117.44,120.44,117.44,120.11,2065080,118.10,-0.88,45.35,34.96
2022-02-01,117.08,118.39,116.51,118.10,2017610,117.76,-3.17,40.73,33.37
2022-01-31,114.43,118.13,113.86,117.76,2127734,115.33,-5.27,39.94,33.36
2022-01-28,111.01,115.35,109.87,115.33,2813738,111.60,-9.67,34.05,26.50
2022-01-27,114.35,115.06,110.55,111.60,2967270,113.57,-15.03,23.33,18.51
2022-01-26,119.61,119.88,112.77,113.57,3430470,118.77,-14.71,25.35,18.57
2022-01-25,118.82,120.48,117.00,118.77,2318083,120.09,-10.00,32.18,19.42
2022-01-24,118.16,120.21,115.30,120.09,3432704,118.67,-6.49,34.36,11.49
2022-01-21,121.30,122.02,118.63,118.67,2268003,120.99,-10.17,29.60,11.76
2022-01-20,120.92,124.03,120.66,120.99,1898144,121.27,-9.81,33.26,12.25
2022-01-19,123.45,124.45,121.16,121.27,1714346,123.03,-10.42,33.73,17.27
2022-01-18,122.88,124.08,122.10,123.03,1887909,125.00,-11.22,36.75,23.26
2022-01-14,125.58,126.72,124.15,125.00,1602300,126.63,-9.51,40.52,28.81
2022-01-13,128.45,128.93,126.39,126.63,1459274,128.28,-9.87,43.98,28.17
2022-01-12,129.99,129.99,127.43,128.28,1213901,128.77,-8.17,47.83,38.22
2022-01-11,128.05,129.00,125.91,128.77,1847935,126.58,-8.61,49.01,45.72
2022-01-10,127.90,127.90,125.36,126.58,2127616,128.84,-9.27,43.19,46.98
2022-01-07,130.76,131.39,128.74,128.84,1555529,130.80,-6.80,48.50,47.91
2022-01-06,131.69,132.50,130.30,130.80,2453339,131.69,-3.44,53.83,45.44
2022-01-05,133.92,134.71,131.61,131.69,1796262,134.25,-1.72,56.44,51.99
2022-01-04,134.32,135.88,133.41,134.25,1873353,134.51,7.82,64.86,57.64
2022-01-03,136.01,136.85,133.03,134.51,2448358,136.50,10.71,65.78,58.17
2021-12-31,136.52,137.29,135.84,136.50,1004384,136.45,12.61,73.20,65.61
2021-12-30,137.59,138.96,136.27,136.45,1063482,137.38,11.80,73.13,69.53
2021-12-29,135.67,138.09,135.67,137.38,1311770,135.85,12.10,76.63,65.62
2021-12-28,136.02,136.90,135.19,135.85,1079146,135.64,13.42,74.79,60.78
2021-12-27,134.65,135.85,133.38,135.64,1990235,134.24,11.24,74.53,60.81
2021-12-23,134.00,137.20,133.92,134.24,2841722,133.41,9.99,72.83,67.63
2021-12-22,129.83,135.46,127.00,133.41,4604240,126.43,11.09,71.79,60.57
2021-12-21,124.69,126.75,124.18,126.43,2583433,123.80,3.39,59.77,54.36
2021-12-20,122.18,123.87,121.55,123.80,1586068,123.89,0.67,52.73,44.19
2021-12-17,124.14,125.55,123.55,123.89,3259159,124.65,1.96,53.02,40.91
2021-12-16,125.85,126.43,124.02,124.65,1512530,125.28,4.85,55.46,51.83
2021-12-15,122.67,125.52,122.50,125.28,1472190,122.43,4.63,57.49,46.27
2021-12-14,123.47,124.23,121.26,122.43,1778307,124.40,4.63,49.76,46.17
2021-12-13,124.32,124.96,123.07,124.40,1404949,124.25,5.20,56.33,46.68
2021-12-10,122.76,124.29,122.41,124.25,1168627,122.32,0.52,55.92,39.98
2021-12-09,123.04,123.46,122.08,122.32,1106839,123.04,-0.13,50.33,34.50
2021-12-08,123.51,124.18,122.40,123.04,1357763,123.13,-2.04,52.64,38.76
2021-12-07,122.63,123.99,122.63,123.13,1214603,121.93,-2.34,52.92,43.70
2021-12-06,120.92,122.25,120.55,121.93,1529703,119.80,-2.45,49.58,43.50
2021-12-03,120.74,121.29,118.70,119.80,1285376,120.65,-5.19,42.88,37.10
2021-12-02,118.48,121.35,118.38,120.65,1396785,117.80,-4.86,45.10,41.90
2021-12-01,120.74,121.48,117.76,117.80,1956735,119.20,-8.05,34.54,39.75
2021-11-30,123.79,124.00,118.29,119.20,3420367,123.73,-5.85,37.86,47.15
2021-11-29,123.71,124.44,122.92,123.73,1824589,122.45,-0.75,53.23,53.80
2021-11-26,124.32,125.18,122.18,122.45,886339,125.08,-2.15,47.66,44.23
2021-11-24,124.89,125.64,124.56,125.08,1421702,125.47,1.68,61.68,51.19
2021-11-23,124.07,125.62,123.73,125.47,1511009,124.38,2.36,64.29,49.54
