datetime,open,high,low,close,volume,previous_close,mom,rsi,mfi
2021-12-16,209.60,211.00,189.51,190.85,3215400,204.04,-26.25,32.69,16.60
2021-12-15,203.31,204.97,192.83,204.04,2771500,202.32,-30.96,37.78,17.23
2021-12-14,205.10,206.19,194.14,202.32,3418100,213.52,-34.54,36.58,17.66
2021-12-13,215.63,220.35,208.48,213.52,2446800,215.02,-36.48,41.39,17.73
2021-12-10,220.59,223.32,214.55,215.02,1639000,216.35,-41.69,42.08,28.53
2021-12-09,225.61,229.01,215.80,216.35,1512200,225.61,-31.07,42.66,36.86
2021-12-08,224.95,227.48,220.04,225.61,1644600,222.56,-29.49,46.86,36.58
2021-12-07,224.40,230.05,220.50,222.56,1970200,212.94,-27.94,45.21,37.28
2021-12-06,216.50,217.42,207.05,212.94,2539600,217.10,-48.18,39.73,38.22
2021-12-03,242.26,243.39,215.79,217.10,3208700,235.00,-50.64,41.39,38.81
2021-12-02,237.00,244.96,230.18,235.00,1949100,236.86,-19.48,49.71,46.11
2021-12-01,253.39,255.09,234.62,236.86,2056400,250.00,-18.00,50.69,53.74
2021-11-30,252.99,259.40,243.89,250.00,2793200,256.71,-1.59,58.24,54.98
2021-11-29,253.63,257.70,250.05,256.71,1513400,247.42,12.00,62.67,58.29
2021-11-26,250.39,259.00,243.62,247.42,1476200,255.10,-4.20,58.62,57.77
2021-11-24,251.88,255.92,242.87,255.10,1541800,250.50,4.61,63.94,57.18
2021-11-23,258.08,265.26,245.74,250.50,2598300,261.12,19.02,62.02,63.55
2021-11-22,269.16,282.46,260.58,261.12,3026700,267.74,21.73,69.99,72.44
2021-11-19,255.83,272.00,255.02,267.74,2720000,254.48,26.12,75.61,61.99
2021-11-18,258.32,259.75,249.02,254.48,1537400,254.86,16.58,71.32,61.43
2021-11-17,252.01,260.56,250.52,254.86,1772100,251.59,12.26,71.66,70.03
2021-11-16,245.37,253.60,239.55,251.59,2242800,244.71,15.01,70.56,73.11
2021-11-15,253.64,253.99,241.61,244.71,1715600,251.62,7.10,68.13,79.96
2021-11-12,251.50,254.70,248.19,251.62,1600600,250.49,12.09,73.80,79.21
2021-11-11,235.41,252.05,235.31,250.49,2661100,231.48,18.86,73.47,78.90
2021-11-10,228.73,237.83,227.60,231.48,1422200,239.39,7.02,66.83,75.33
2021-11-09,243.55,244.38,232.56,239.39,1214800,241.62,23.17,73.98,74.58
2021-11-08,241.16,246.54,239.00,241.62,1242700,237.90,68.16,76.11,73.73
2021-11-05,242.12,244.88,234.26,237.90,1835500,242.60,58.47,74.99,74.29
2021-11-04,236.69,243.12,232.67,242.60,2162600,236.58,65.90,79.34,78.20
2021-11-03,234.45,238.88,231.07,236.58,2158500,237.61,56.78,77.81,74.45
2021-11-02,238.05,239.03,228.53,237.61,2762900,239.53,57.51,78.74,73.85
2021-11-01,233.04,239.89,232.12,239.53,2631000,231.63,52.47,80.39,79.68
2021-10-29,225.00,237.00,225.00,231.63,4171300,224.46,51.66,78.68,79.23
2021-10-28,216.22,227.59,210.67,224.46,5733400,216.22,51.54,76.98,77.80
2021-10-27,205.50,225.40,204.04,216.22,15168400,173.46,42.44,74.85,72.43
2021-10-26,181.62,183.38,170.42,173.46,2975000,179.43,0.25,54.53,56.16
2021-10-25,178.68,181.24,176.92,179.43,1367500,176.70,9.59,60.91,65.46
2021-10-22,181.47,181.47,174.33,176.70,1624100,179.80,15.44,58.86,60.85
2021-10-21,179.47,184.78,177.96,179.80,2393700,180.10,25.44,62.30,60.53
2021-10-20,186.23,187.00,177.34,180.10,2250100,187.06,22.87,62.63,68.29
2021-10-19,181.00,190.87,180.10,187.06,2834400,179.97,33.48,70.65,76.46
2021-10-18,171.39,181.12,171.28,179.97,1900500,172.92,32.56,66.60,68.56
2021-10-15,174.59,175.96,171.09,172.92,2037800,173.78,27.89,61.73,61.20
2021-10-14,175.60,176.63,170.44,173.78,1541300,173.21,18.42,62.77,62.88
2021-10-13,171.93,175.91,169.82,173.21,2118300,169.84,23.24,62.38,57.43
2021-10-12,162.12,172.10,162.12,169.84,2438500,161.26,21.44,60.09,55.40
2021-10-11,154.75,165.46,154.75,161.26,2146100,154.36,10.55,53.38,52.89
2021-10-08,158.46,159.50,153.59,154.36,1205100,157.23,-0.70,46.69,52.30
2021-10-07,156.17,162.73,156.00,157.23,1966300,153.58,3.57,49.43,49.58
2021-10-06,144.36,155.85,143.45,153.58,2355600,147.41,-4.74,45.67,52.79
2021-10-05,146.00,149.73,144.90,147.41,1411200,145.03,-10.80,38.48,52.26
2021-10-04,153.54,153.72,144.47,145.03,2126800,155.36,-9.26,35.41,50.21
2021-10-01,152.02,155.96,150.56,155.36,1612300,149.97,2.92,44.30,57.01
2021-09-30,150.19,151.73,148.00,149.97,1904500,148.40,-10.92,36.59,50.24
2021-09-29,152.33,153.10,146.72,148.40,1866600,150.71,-8.39,34.13,42.98
2021-09-28,152.00,153.07,149.42,150.71,1985000,155.06,-4.82,36.04,42.46
2021-09-27,151.81,156.88,148.47,155.06,1564900,153.66,-2.89,39.96,41.69
2021-09-24,157.21,157.39,152.10,153.66,1243100,158.32,-6.43,37.94,40.90
2021-09-23,158.99,160.12,157.00,158.32,1151100,158.21,0.10,42.34,40.77
2021-09-22,153.24,158.92,152.00,158.21,1304200,154.29,-3.15,42.19,36.55
2021-09-21,154.91,155.80,150.30,154.29,1949200,152.44,-9.09,36.87,37.38
2021-09-20,154.66,156.77,149.32,152.44,2526400,160.89,-16.29,34.22,30.38
2021-09-17,155.43,161.67,153.97,160.89,3596100,156.79,-13.05,41.64,36.85
2021-09-16,153.94,157.10,152.21,156.79,1997600,155.53,-20.10,35.32,30.77
2021-09-15,156.87,157.67,152.11,155.53,2400800,157.95,-20.90,33.26,29.28
2021-09-14,160.46,162.44,157.19,157.95,1543900,160.09,-15.78,35.27,31.17
2021-09-13,158.99,161.01,154.17,160.09,1952600,158.22,-17.69,37.10,30.59
2021-09-10,163.08,164.80,157.81,158.22,2035000,161.36,-16.77,34.33,39.90
2021-09-09,163.45,164.40,160.18,161.36,2043100,163.38,-11.07,36.87,46.64
2021-09-08,171.36,174.99,163.09,163.38,2262600,168.73,-9.53,38.57,48.03
2021-09-07,171.50,172.72,166.64,168.73,1916900,173.94,-4.19,43.51,56.49
2021-09-03,175.62,177.69,172.67,173.94,1180700,176.89,1.70,49.20,56.37
2021-09-02,177.65,180.31,175.51,176.89,1103200,176.43,10.90,52.84,54.93
2021-09-01,177.98,181.72,175.00,176.43,1480000,173.73,13.54,52.33,54.38
2021-08-31,178.13,178.62,169.60,173.73,2046200,177.78,11.26,49.34,47.13
2021-08-30,176.66,179.05,174.61,177.78,1372900,174.99,14.30,54.06,48.32
2021-08-27,172.78,177.50,171.66,174.99,1043100,172.43,7.45,51.07,48.57
2021-08-26,172.91,177.78,172.11,172.43,1291900,172.91,-2.57,48.19,50.01
2021-08-25,172.93,174.65,170.34,172.91,763800,172.92,-8.38,48.69,41.74
2021-08-24,172.82,176.80,171.71,172.92,1234900,172.24,-9.37,48.70,38.85
2021-08-23,168.80,172.88,166.71,172.24,2144500,165.99,-11.85,48.04,41.55
2021-08-20,162.73,168.09,162.66,165.99,1132900,162.89,-19.57,41.67,47.91
2021-08-19,161.38,166.49,160.27,162.89,1389400,162.47,-16.85,38.18,41.68
2021-08-18,164.75,166.62,162.36,162.47,1162600,163.48,-20.98,37.71,48.72
2021-08-17,166.14,167.40,159.84,163.48,2029500,167.54,-30.45,38.36,50.54
2021-08-16,173.61,174.23,166.60,167.54,1733100,175.00,-25.08,41.00,59.39
2021-08-13,180.70,180.71,174.60,175.00,1300100,181.29,-8.11,46.45,57.44
2021-08-12,180.73,183.00,178.21,181.29,1296700,182.29,-8.31,51.84,61.46
2021-08-11,185.60,186.28,177.06,182.29,1495900,184.09,0.23,52.74,61.49
2021-08-10,187.51,188.97,183.32,184.09,1398900,185.56,2.67,54.33,66.12
2021-08-09,181.13,186.60,178.80,185.56,1515200,179.74,12.70,55.59,66.61
2021-08-06,183.59,184.34,177.50,179.74,2039300,183.45,3.06,51.43,66.92
2021-08-05,192.60,193.53,182.99,183.45,2134500,193.93,5.27,54.45,67.50
2021-08-04,192.33,196.41,191.34,193.93,2027100,192.62,14.99,64.37,69.30
2021-08-03,188.94,201.50,187.00,192.62,4428400,183.11,12.83,63.60,60.75
2021-08-02,190.01,191.00,182.35,183.11,2230600,189.60,11.02,57.40,49.42
2021-07-30,178.73,189.92,177.22,189.60,2351800,182.06,24.32,64.34,55.97
2021-07-29,182.56,188.36,179.40,182.06,2035000,181.42,18.61,58.99,54.62
2021-07-28,170.26,183.00,163.35,181.42,3610600,172.86,16.13,58.50,53.54
2021-07-27,175.52,176.85,166.13,172.86,2785800,176.68,2.07,51.25,42.10
2021-07-26,177.44,180.92,174.50,176.68,1246400,178.18,-7.38,55.25,41.95
2021-07-23,178.90,178.90,174.21,178.18,1311600,178.94,-7.54,56.87,35.74
2021-07-22,179.75,181.92,176.56,178.94,1329600,179.79,-4.86,57.66,41.73
2021-07-21,173.55,180.90,172.30,179.79,1921600,172.09,0.07,58.51,36.30
2021-07-20,167.53,173.52,163.93,172.09,1943000,165.28,-9.74,52.64,28.53
2021-07-19,158.11,165.86,155.25,165.28,1968300,163.45,-23.53,46.43,31.38
2021-07-16,167.54,168.30,163.02,163.45,1522800,165.29,-22.96,44.61,39.71
2021-07-15,171.99,174.31,162.82,165.29,3122700,170.79,-17.82,46.07,48.61
2021-07-14,185.05,185.92,170.61,170.79,2377100,184.06,-12.84,50.66,56.71
2021-07-13,185.45,188.95,182.37,184.06,1351500,185.72,-1.65,65.23,63.76
2021-07-12,184.30,187.62,180.49,185.72,1550300,183.80,-2.61,67.49,64.46
2021-07-09,181.00,184.01,177.75,183.80,1424900,179.72,8.41,66.23,58.17
2021-07-08,173.15,181.72,170.26,179.72,2405600,181.83,8.95,63.45,62.02
2021-07-07,190.10,196.02,181.41,181.83,2657900,188.81,11.59,66.06,69.97
2021-07-06,186.35,189.18,183.34,188.81,2138900,186.41,21.51,75.63,77.00
2021-07-02,185.88,191.00,184.63,186.41,1729400,183.11,23.33,74.44,78.75
2021-07-01,182.32,183.50,177.28,183.11,1711200,183.63,17.26,72.76,78.70
2021-06-30,184.31,186.38,181.25,183.63,2651100,185.71,21.64,73.47,83.30
2021-06-29,188.20,192.92,184.48,185.71,2882200,188.33,33.69,76.23,90.18
2021-06-28,179.02,188.99,178.42,188.33,2809900,175.39,43.41,79.73,86.33
2021-06-25,174.90,181.19,173.25,175.39,4042800,170.77,27.74,74.32,85.69
2021-06-24,171.24,172.46,165.93,170.77,2528700,170.24,23.64,71.83,79.84
2021-06-23,167.45,171.70,167.17,170.24,2386100,167.30,26.74,71.53,79.38
2021-06-22,162.40,169.80,162.28,167.30,2195500,163.08,30.33,69.91,73.14
2021-06-21,163.53,165.89,157.55,163.08,2708800,165.85,23.93,67.44,67.04
2021-06-18,159.36,168.15,159.35,165.85,5347500,161.99,28.38,70.99,68.36
2021-06-17,150.59,164.28,150.12,161.99,4969900,152.02,27.29,68.87,64.77
2021-06-16,144.01,154.06,144.01,152.02,3406000,144.92,17.89,62.26,61.57
2021-06-15,147.26,147.71,143.42,144.92,1663800,147.65,5.75,56.09,60.59
2021-06-14,148.03,151.74,146.61,147.65,2063100,147.13,8.21,59.57,58.58
2021-06-11,143.31,147.46,140.63,147.13,2522100,143.50,4.08,59.12,51.74
2021-06-10,137.15,144.46,136.18,143.50,3008400,136.97,1.19,55.95,53.15
2021-06-09,139.95,141.23,136.72,136.97,1615500,139.15,-6.07,49.41,55.82
2021-06-08,138.36,141.61,135.13,139.15,1612300,137.47,0.62,51.79,62.71
2021-06-07,133.62,137.91,130.65,137.47,2084300,134.70,-3.40,50.07,64.26
2021-06-04,135.87,138.69,133.57,134.70,2193600,134.13,-7.58,47.18,63.62
2021-06-03,136.75,138.24,132.48,134.13,2537300,139.17,-7.69,46.58,63.59
2021-06-02,139.03,143.75,137.22,139.17,2420000,139.44,8.50,51.30,61.80
2021-06-01,144.50,146.38,137.23,139.44,2336200,143.05,16.93,51.56,68.27
2021-05-28,143.25,146.76,142.21,143.05,2175400,142.31,24.63,55.02,66.84
2021-05-27,143.24,145.50,141.66,142.31,2608100,143.04,22.53,54.44,61.00
2021-05-26,139.50,144.36,139.05,143.04,2795900,138.53,28.43,55.09,61.33
2021-05-25,142.29,143.11,136.16,138.53,2837900,140.87,21.36,51.77,52.97
2021-05-24,143.70,145.08,138.93,140.87,2284700,142.28,19.45,53.68,52.62
2021-05-21,144.38,145.00,139.59,142.28,3552900,141.82,24.16,54.81,48.66
2021-05-20,132.04,142.62,131.88,141.82,5138000,130.67,18.86,54.52,41.45
2021-05-19,119.91,130.80,119.20,130.67,4409700,122.51,8.73,46.84,32.34
2021-05-18,119.08,126.21,117.50,122.51,3742200,118.42,-4.37,39.93,23.57
2021-05-17,119.01,119.68,114.23,118.42,2886100,119.78,-9.41,36.07,14.05
