datetime,open,high,low,close,volume,previous_close,mom,rsi,mfi
2022-09-14,127.39,127.72,125.67,126.92,1751016,127.59,0.05,46.68,58.50
2022-09-13,128.15,129.48,126.74,127.59,2829939,130.85,1.12,48.03,59.07
2022-09-12,129.76,131.40,129.26,130.85,1707787,128.93,1.25,55.25,62.21
2022-09-09,127.80,129.74,127.65,128.93,1651391,127.14,-3.24,51.24,56.73
2022-09-08,125.36,127.19,124.44,127.14,1719139,125.55,-0.47,47.14,52.25
2022-09-07,123.70,125.87,123.45,125.55,2355346,124.73,-0.06,43.20,47.61
2022-09-06,124.42,125.06,122.54,124.73,2205837,125.33,-2.00,41.10,46.55
2022-09-02,127.92,128.45,125.00,125.33,1346743,127.68,-2.79,42.16,53.49
2022-09-01,125.88,127.76,125.88,127.68,1497678,126.87,-2.80,46.52,57.58
2022-08-31,127.89,128.80,126.57,126.87,1860913,126.47,-5.60,44.69,61.87
2022-08-30,128.98,129.05,125.89,126.47,1943272,129.60,-6.70,43.81,56.44
2022-08-29,130.45,131.38,127.60,129.60,2729354,132.17,-5.51,49.55,62.63
2022-08-26,133.69,135.85,131.99,132.17,9512646,127.61,0.57,55.06,64.29
2022-08-25,126.26,127.63,125.37,127.61,878482,125.61,-3.76,44.99,41.83
2022-08-24,126.47,127.02,125.50,125.61,1426742,126.73,-4.07,39.47,36.94
2022-08-23,127.06,127.44,126.28,126.73,1124728,128.12,-4.43,41.64,44.58
2022-08-22,129.89,130.24,127.63,128.12,1775033,130.48,-1.16,44.46,52.52
2022-08-19,131.74,131.88,130.12,130.48,1220777,132.47,-0.57,49.79,51.54
2022-08-18,133.17,133.62,131.98,132.47,1190470,133.17,-0.09,54.93,50.55
2022-08-17,134.68,135.78,133.00,133.17,1601313,135.11,-0.07,56.85,47.74
2022-08-16,131.26,135.81,130.54,135.11,2036997,131.60,1.83,62.47,47.35
2022-08-15,130.95,132.10,129.85,131.60,1133153,131.37,2.71,55.00,46.51
2022-08-12,130.15,131.56,129.79,131.37,1000321,129.68,0.50,54.45,47.50
2022-08-11,131.99,132.28,129.59,129.68,1435351,131.16,-1.55,50.29,42.59
2022-08-10,130.84,132.20,130.10,131.16,1640549,129.28,-2.02,54.32,48.61
2022-08-09,130.05,130.58,128.06,129.28,1977415,131.05,-2.90,49.55,49.91
2022-08-08,132.75,133.42,130.59,131.05,1585769,132.56,0.30,54.53,56.66
2022-08-05,132.10,132.68,131.21,132.56,1178665,133.24,2.64,59.25,63.51
2022-08-04,133.37,133.80,131.99,133.24,1666349,133.28,3.08,61.48,68.76
2022-08-03,131.14,134.92,130.41,133.28,2210807,128.89,3.07,61.60,68.09
2022-08-02,129.75,130.60,128.73,128.89,2184851,130.87,1.30,51.43,66.69
2022-08-01,130.59,131.85,129.79,130.87,1652565,131.23,4.12,57.85,68.34
2022-07-29,132.17,132.94,130.07,131.23,2530834,133.18,7.61,59.09,69.81
2022-07-28,132.49,133.62,131.40,133.18,1441725,132.18,10.02,66.27,74.20
2022-07-27,130.46,132.96,129.81,132.18,1697897,130.75,9.89,64.20,74.03
