datetime,open,high,low,close,adjusted_close,volume,mom,rsi,mfi
2023-04-04,108.41,108.41,105.85,106.46,105.8218,987780,1.79,47.77,45.63
2023-04-03,109.74,109.74,106.73,108.32,107.6706,1504992,2.42,53.28,44.70
2023-03-31,107.44,110.46,107.345,110.12,109.4599,1576071,4.80,59.44,43.84
2023-03-30,106.29,107.385,105.81,107.06,106.4182,984853,0.63,50.39,33.44
2023-03-29,105.71,106.25,104.77,105.59,104.957,766559,-1.76,44.90,26.81
2023-03-28,104.76,106.36,104.475,104.9,104.2711,1044876,-0.79,42.11,29.51
2023-03-27,105.54,105.85,104.53,105.43,104.798,1136438,-0.71,43.69,35.12
2023-03-24,103.95,104.865,102.89,104.49,103.8636,877903,-3.26,39.98,28.29
2023-03-23,104.95,106.63,103.9,104.56,103.9332,1087153,-2.83,40.16,35.65
2023-03-22,105.87,107.9,104.62,104.67,104.0425,1036603,-5.64,40.43,42.55
2023-03-21,106.0,106.975,104.74,105.9,105.2652,1325082,-4.97,43.46,49.81
2023-03-20,106.47,107.5,104.94,105.32,104.6886,996691,-4.29,41.54,56.09
2023-03-17,107.825,108.57,105.81,106.43,105.792,2046482,-3.37,44.21,53.91
2023-03-16,105.32,107.78,105.32,107.35,106.7065,855141,-2.05,46.50,46.17
2023-03-15,104.24,106.11,103.25,105.69,105.0564,1355232,-4.26,41.41,42.06
2023-03-14,108.98,109.93,104.53,106.14,105.5037,1848269,0.76,42.42,47.85
2023-03-13,106.0,109.085,105.0,107.75,107.1041,2014354,3.19,46.20,49.48
2023-03-10,110.31,110.32,106.59,107.39,106.7462,1559676,1.61,45.18,48.66
2023-03-09,111.14,112.655,110.17,110.31,109.6487,1385835,3.12,52.64,49.35
2023-03-08,109.52,110.97,109.23,110.87,110.2054,1010500,3.13,54.24,43.16
2023-03-07,110.0,110.4,108.9701,109.61,108.9529,1591725,4.41,51.15,43.41
2023-03-06,109.17,111.3,108.87,109.8,109.1418,1653869,4.60,51.63,49.74
2023-03-03,110.3,110.85,108.8404,109.4,108.7442,1554909,-2.00,50.71,48.07
2023-03-02,104.74,110.18,104.53,109.95,109.2909,1911977,-2.25,51.98,39.69
2023-03-01,104.81,106.08,103.865,105.38,104.7483,1398148,-8.19,40.56,30.71
2023-02-28,105.4,106.1,104.34,104.56,103.9332,1884805,-8.55,38.11,23.77
2023-02-27,108.64,108.9,105.6,105.78,105.1459,1340794,-7.06,40.41,24.58
2023-02-24,106.57,107.81,106.08,107.19,106.5474,927079,-4.77,43.22,24.23
2023-02-23,106.2,107.91,105.965,107.74,107.0941,1180295,-4.15,44.33,23.84
2023-02-22,105.59,106.79,104.42,105.2,104.5693,1155012,-7.79,37.42,38.27
2023-02-21,107.5,108.62,104.43,105.2,104.5693,2390288,-8.77,37.42,45.51
2023-02-17,112.11,112.32,110.47,111.4,110.7322,1231400,-2.95,50.65,55.58
2023-02-16,111.7,113.115,111.38,112.2,111.5274,1053733,-4.83,52.89,56.24
