datetime,open,high,low,close,adjusted_close,volume,mom,rsi,mfi
2023-06-14,78.18,78.8,77.48,78.53,78.5012,3322600,-1.30,48.72,60.86
2023-06-13,78.3,78.449,76.7,77.79,77.7615,4122300,-1.72,46.39,58.08
2023-06-12,77.25,78.31,76.9,78.27,78.2413,5545200,0.31,47.70,60.19
2023-06-09,78.1,78.5,77.06,77.1,77.0717,4894700,-1.33,44.13,55.91
2023-06-08,77.35,78.4,76.75,77.75,77.7215,15048600,-2.11,45.74,58.84
2023-06-07,81.49,82.26,80.19,80.48,80.4505,3883900,3.95,53.32,76.33
2023-06-06,78.0,83.18,77.8,82.93,82.8996,23800600,5.74,61.87,83.72
2023-06-05,79.91,80.724,78.78,80.49,80.4605,1416700,1.41,55.23,72.28
2023-06-02,80.3,80.87,79.9,79.97,79.9407,2404500,0.63,53.64,76.66
2023-06-01,79.73,80.1,78.89,79.83,79.8007,2355500,0.14,53.22,68.74
2023-05-31,78.54,79.73,77.743,79.51,79.4808,4501500,-0.79,52.31,62.96
2023-05-30,78.25,79.05,77.41,77.96,77.9314,1775800,0.18,47.73,52.81
2023-05-26,79.77,80.2,78.37,78.43,78.4012,2243100,3.50,49.06,51.51
2023-05-25,76.53,80.06,75.61,79.86,79.8307,3127800,4.94,53.23,48.93
2023-05-24,76.97,77.14,76.08,76.53,76.5019,1431900,1.54,42.69,44.67
2023-05-23,78.96,79.773,77.06,77.19,77.1617,1382400,1.29,44.54,44.03
2023-05-22,79.35,79.419,78.71,79.08,79.051,1357700,2.71,50.33,50.34
2023-05-19,80.09,81.089,79.12,79.34,79.2809,1311100,-0.08,51.18,49.32
2023-05-18,80.42,81.13,79.22,79.69,79.6306,1483500,0.70,52.29,49.19
2023-05-17,77.93,80.61,76.206,80.3,80.2402,3716300,2.04,54.18,49.51
2023-05-16,75.27,78.27,75.22,77.78,77.7221,2668900,-1.93,46.79,45.01
2023-05-15,75.1,75.56,74.7,74.93,74.8742,1187900,-3.53,35.95,32.79
2023-05-12,74.89,75.01,74.27,74.92,74.8642,2577500,-5.86,35.90,22.43
2023-05-11,75.71,75.71,74.71,74.99,74.9341,1504800,-6.35,36.06,31.49
2023-05-10,76.5,76.76,74.97,75.9,75.8435,1792900,-5.62,38.05,37.20
2023-05-09,78.55,78.79,76.12,76.37,76.3131,2499700,-3.75,39.09,37.15
2023-05-08,78.88,79.49,78.61,79.42,79.3608,842300,-0.97,46.76,45.06
2023-05-05,78.5,79.53,78.5,78.99,78.9312,1077400,-8.80,45.35,46.33
2023-05-04,79.62,80.26,77.69,78.26,78.2017,1751400,-8.22,42.98,46.04
2023-05-03,78.47,80.42,78.02,79.71,79.6506,1748900,-5.29,46.72,50.55
2023-05-02,80.34,80.65,77.89,78.46,78.4016,1879100,-7.29,42.74,49.85
2023-05-01,81.08,81.729,80.725,80.78,80.7198,1355800,-2.88,49.06,54.88
2023-04-28,81.2,81.73,81.01,81.34,81.2794,1617600,-1.38,50.75,59.06
2023-04-27,80.82,81.54,80.62,81.52,81.4593,1557000,-0.85,51.27,53.81
2023-04-26,79.73,80.27,77.56,80.12,80.0603,3489500,-2.82,47.33,49.00
2023-04-25,83.5,83.5,78.78,80.39,80.3301,7291400,-1.36,48.03,52.49
2023-04-24,86.6,87.83,86.18,87.79,87.7246,2692800,7.20,76.67,65.92
2023-04-21,85.2,86.515,85.09,86.48,86.4156,1850600,5.89,74.13,55.32
2023-04-20,85.37,86.32,84.68,85.0,84.9367,1634900,4.84,70.81,55.27
2023-04-19,83.79,86.88,83.75,85.75,85.6861,2422900,4.63,75.37,64.14
2023-04-18,82.79,84.16,82.79,83.66,83.5977,1522000,2.07,70.44,62.73
2023-04-17,82.17,83.24,82.0,82.72,82.6584,861000,0.91,67.74,57.59
2023-04-14,82.45,83.28,81.98,82.37,82.3086,1163600,0.34,66.69,58.12
2023-04-13,81.65,83.172,81.38,82.94,82.8782,1252800,0.80,70.15,57.90
2023-04-12,81.005,81.9,80.607,81.75,81.6891,1232000,2.51,66.81,57.96
2023-04-11,80.59,80.685,79.96,80.59,80.53,1167000,3.69,63.09,51.35
2023-04-10,79.93,80.63,79.7,80.59,80.53,1579200,4.21,63.09,51.73
2023-04-06,80.97,81.06,80.09,80.16,80.1003,1356700,3.70,61.71,51.67
2023-04-05,81.5,81.8,80.65,81.12,81.0596,1410600,5.41,66.88,43.10
2023-04-04,82.0,82.16,81.47,81.59,81.5292,1552700,6.82,69.52,49.05
2023-04-03,82.0,82.62,81.47,81.81,81.7491,1913100,5.29,70.74,47.85
2023-03-31,82.25,82.59,81.58,82.03,81.9689,1916200,6.83,71.91,55.35
2023-03-30,79.78,82.289,79.5,82.14,82.0788,2188900,6.30,72.46,55.68
2023-03-29,77.36,79.47,77.06,79.24,79.181,1786000,2.62,66.04,45.46
2023-03-28,76.38,76.94,76.15,76.9,76.8427,760800,0.14,58.84,39.18
2023-03-27,76.82,77.46,76.265,76.38,76.3231,1196600,-0.76,56.96,43.66
2023-03-24,75.26,76.49,74.89,76.46,76.403,1154800,0.22,57.34,38.85
2023-03-23,75.41,76.71,74.87,75.71,75.6536,1393700,0.74,54.75,40.32
