datetime,open,high,low,close,adjusted_close,volume,mom,rsi,mfi
2022-09-27,390.72,392.94,382.61,383.53,379.5819,442495,-19.36,31.71,35.92
2022-09-26,388.36,393.03,386.62,387.15,383.1646,394639,-21.49,33.46,43.00
2022-09-23,388.78,390.26,385.04,389.89,385.8764,420332,-39.02,34.82,43.90
2022-09-22,397.82,398.3,388.52,388.77,384.7679,430252,-42.58,33.80,50.53
2022-09-21,409.28,410.81,399.6,399.84,395.724,461189,-29.55,39.45,51.44
2022-09-20,404.09,407.84,401.925,406.0,401.8205,384760,-22.19,43.18,51.49
2022-09-19,402.61,408.15,400.23,407.84,403.6416,338010,-5.81,44.34,51.90
2022-09-16,395.34,405.51,391.91,404.33,400.1677,930395,-1.46,41.55,47.19
2022-09-15,404.25,404.87,396.87,398.57,394.467,462337,-8.97,36.72,35.67
2022-09-14,409.99,409.99,399.23,402.89,398.7426,591717,-3.95,38.97,40.97
2022-09-13,420.32,423.22,406.96,408.64,404.4334,606860,-1.06,42.15,47.76
2022-09-12,432.67,433.64,425.04,428.91,424.4947,504495,12.91,57.53,50.45
2022-09-09,429.78,435.2497,428.9,431.35,426.9096,398567,11.33,59.97,52.69
2022-09-08,427.55,431.88,425.99,429.39,424.9698,321329,-3.94,58.66,45.84
2022-09-07,415.1,429.14,415.1,428.19,423.7821,489549,-0.93,57.88,45.45
2022-09-06,406.86,414.23,406.86,413.65,409.3918,479764,-14.36,46.45,43.31
2022-09-02,409.6,412.35,403.09,405.79,401.6127,508132,-24.50,38.00,41.70
2022-09-01,404.26,407.54,402.02,407.54,403.3447,291955,-28.98,39.28,39.02
2022-08-31,413.09,413.17,405.57,406.84,402.6519,448258,-33.60,38.51,45.17
2022-08-30,417.55,418.08,406.48,409.7,405.4825,326079,-29.40,40.46,47.59
2022-08-29,416.82,419.84,414.35,416.0,411.7176,292622,-21.81,45.12,55.53
2022-08-26,433.85,434.495,419.45,420.02,415.6962,503531,-19.01,48.43,54.30
2022-08-25,433.41,433.53,428.725,433.33,428.8692,240092,-0.91,62.52,65.55
2022-08-24,428.08,430.46,426.41,429.12,424.7025,249309,-0.52,59.02,59.05
2022-08-23,428.02,430.5,426.7,428.01,423.604,289989,-3.77,58.06,61.36
2022-08-22,432.61,434.16,429.78,430.29,425.8605,281013,5.56,60.78,67.95
2022-08-19,439.0,440.93,434.975,436.52,432.0264,269093,10.91,68.96,67.07
2022-08-18,439.1,441.74,437.985,440.44,435.906,279490,16.83,74.84,66.99
2022-08-17,433.84,439.64,433.75,439.1,434.5798,294814,11.91,74.14,68.30
2022-08-16,436.91,439.34,434.82,437.81,433.3031,325058,11.74,73.48,69.15
2022-08-15,431.26,439.7,431.26,439.03,434.5105,277902,16.27,75.17,69.87
2022-08-12,432.13,435.045,429.54,434.24,429.7698,257049,10.31,72.90,70.17
2022-08-11,433.25,435.0,427.87,429.64,424.079,206550,4.15,70.50,65.82
2022-08-10,432.9,433.92,428.49,431.78,426.1913,339383,11.76,73.31,70.35
2022-08-09,426.79,426.85,423.54,424.73,419.2326,381131,15.50,69.61,70.90
2022-08-08,426.34,427.31,422.8,425.61,420.1012,435264,27.78,70.74,78.26
2022-08-05,423.96,425.9,420.945,423.61,418.1271,294280,26.94,69.70,79.04
2022-08-04,426.47,429.15,424.2,427.19,421.6607,503657,30.46,74.09,75.56
2022-08-03,423.57,428.08,422.53,426.07,420.5552,304894,26.08,73.61,76.47
2022-08-02,423.64,425.83,418.14,422.76,417.2881,346482,30.67,72.19,77.49
2022-08-01,422.83,424.715,420.57,423.93,418.4429,283722,37.24,73.49,76.60
2022-07-29,420.0,426.61,418.16,425.49,419.9827,480308,46.56,75.16,74.93
2022-07-28,410.64,421.0,407.39,420.02,414.5835,444009,31.74,73.17,74.67
2022-07-27,399.88,411.38,398.64,409.23,403.9332,472130,22.10,68.54,68.19
2022-07-26,396.39,398.49,393.8,397.83,392.6808,358561,20.26,62.14,67.71
2022-07-25,397.99,397.99,393.57,396.67,391.5358,213076,19.21,61.39,67.60
2022-07-22,401.84,402.99,394.28,396.73,391.595,286105,15.96,61.45,65.31
2022-07-21,393.28,400.01,392.26,399.99,394.8128,470990,18.92,64.52,65.93
2022-07-20,389.1,393.6,385.88,392.09,387.0151,404458,11.20,60.03,65.28
2022-07-19,382.72,387.5,380.7,386.69,381.6849,691229,6.57,56.53,60.86
2022-07-18,390.06,390.115,378.0,378.93,374.0254,598471,3.57,50.79,53.77
2022-07-15,391.93,393.31,385.764,388.28,383.2544,786057,11.57,59.60,61.42
2022-07-14,390.57,390.57,373.53,387.13,382.1193,631399,13.60,58.78,61.33
2022-07-13,372.76,380.45,365.65,377.57,372.683,470766,5.12,51.16,60.36
2022-07-12,380.09,385.74,375.57,377.46,372.5744,469155,5.97,51.07,67.86
2022-07-11,380.64,383.87,379.82,380.77,375.8416,461442,0.86,54.05,76.34
2022-07-08,380.32,382.28,377.18,381.07,376.1377,432119,1.89,54.32,78.19
2022-07-07,377.77,382.41,377.77,380.89,375.96,402005,14.36,54.20,75.51
2022-07-06,378.84,382.55,375.12,380.12,375.2,351386,20.90,53.69,76.65
2022-07-05,373.58,375.92,363.59,375.36,370.5016,468909,16.94,50.53,68.93
2022-07-01,373.53,378.38,371.54,376.71,371.8341,430914,29.36,51.46,67.31
2022-06-30,367.79,375.71,367.54,373.53,368.6953,368266,24.64,49.44,61.55
2022-06-29,373.64,374.24,368.76,372.45,367.6293,246068,17.61,48.76,56.56
2022-06-28,380.93,383.995,370.52,371.49,366.6817,299624,19.05,48.20,54.89
2022-06-27,379.58,383.17,375.61,379.91,374.9927,312027,22.06,52.98,59.08
2022-06-24,368.72,379.56,368.72,379.18,374.2722,799265,4.42,52.60,59.47
2022-06-23,362.17,367.76,358.56,366.53,361.7859,509921,-24.39,45.54,51.32
2022-06-22,355.99,362.23,351.914,359.22,354.5705,435740,-40.14,40.81,51.36
2022-06-21,350.8,359.79,350.6,358.42,353.7809,642272,-45.18,40.28,44.94
2022-06-17,348.5,354.34,346.34,347.35,342.8541,1061406,-50.07,32.55,48.47
2022-06-16,351.82,351.82,343.86,348.89,344.3742,725342,-47.20,33.11,45.86
