datetime,open,high,low,close,adjusted_close,volume,mom,rsi,mfi
2023-02-17,212.03,214.47,201.94,213.95,213.95,226400,7.09,58.34,68.30
2023-02-16,214.83,218.97,211.31,213.19,213.19,204300,12.46,57.61,79.47
2023-02-15,212.62,217.39,211.25,216.64,216.64,135300,12.50,62.20,88.15
2023-02-14,211.08,216.67,211.08,214.88,214.88,155400,8.06,60.71,77.42
2023-02-13,206.75,212.66,205.43,211.45,211.45,125700,12.70,57.71,72.53
2023-02-10,207.31,208.24,204.75,206.47,206.47,86700,10.76,52.86,72.53
2023-02-09,210.55,214.01,205.86,207.83,207.83,105600,17.08,54.45,76.19
2023-02-08,212.54,212.82,205.0,209.32,209.32,111500,19.53,56.16,76.56
2023-02-07,206.75,212.28,204.68,211.66,211.66,189400,17.39,58.86,76.00
2023-02-06,199.8,207.51,199.79,206.86,206.86,202000,8.61,54.71,68.47
2023-02-03,201.18,204.78,198.79,200.73,200.73,134500,1.56,48.56,68.73
2023-02-02,208.14,209.79,204.08,204.14,204.14,299900,7.59,52.23,69.44
2023-02-01,198.51,207.21,198.03,206.82,206.82,257000,13.05,55.27,64.21
2023-01-31,196.02,199.09,193.14,198.75,198.75,192800,3.55,46.56,62.91
2023-01-30,188.43,199.84,184.04,195.71,195.71,465500,-8.95,42.66,57.42
2023-01-27,190.01,193.22,187.34,190.75,190.75,388100,-9.99,35.53,53.60
2023-01-26,195.02,195.02,178.01,189.79,189.79,380300,-13.49,34.05,43.92
2023-01-25,195.47,197.03,191.78,194.27,194.27,149600,-11.84,37.80,48.16
2023-01-24,199.16,204.37,196.31,198.25,198.25,132000,-3.82,41.57,47.46
2023-01-23,198.01,201.43,195.38,199.17,199.17,186900,-2.51,42.48,48.10
2023-01-20,195.03,196.8,192.01,196.55,196.55,164700,-4.59,38.95,47.03
2023-01-19,194.18,198.86,192.06,193.77,193.77,144200,-6.24,35.01,45.25
2023-01-18,205.56,205.95,194.53,195.2,195.2,267100,-10.82,36.13,50.79
2023-01-17,200.03,204.83,199.4,204.66,204.66,231100,-1.60,44.88,54.24
2023-01-13,202.39,202.7,200.23,200.74,200.74,100800,-4.66,39.21,44.54
2023-01-12,206.1,207.86,200.95,203.28,203.28,94900,-2.34,41.80,43.54
2023-01-11,202.86,206.52,202.86,206.11,206.11,150100,5.64,44.86,49.57
2023-01-10,201.26,202.15,197.65,202.07,202.07,143700,0.48,38.93,50.66
2023-01-09,203.45,208.87,200.63,201.68,201.68,204000,-0.53,38.34,48.78
2023-01-06,202.38,202.38,198.44,201.14,201.14,121100,-3.47,37.56,30.63
2023-01-05,204.54,205.74,199.79,200.01,200.01,140100,-4.29,35.98,30.09
2023-01-04,207.12,207.26,202.37,206.02,206.02,174000,2.63,41.11,29.60
2023-01-03,209.11,212.42,202.29,206.26,206.26,154200,6.29,41.32,38.77
2022-12-30,203.17,205.97,202.45,205.4,205.4,136400,4.29,40.27,32.13
2022-12-29,201.59,206.37,201.59,205.62,205.62,85900,-0.65,40.44,26.07
2022-12-28,202.38,204.0,199.75,200.47,200.47,98800,-11.18,34.31,27.00
2022-12-27,201.06,203.18,198.74,201.59,201.59,128800,-15.53,35.04,29.78
2022-12-23,204.35,205.13,201.67,202.21,202.21,140900,-12.72,35.43,28.80
2022-12-22,202.21,205.68,201.04,204.61,204.61,142300,-12.44,36.89,28.42
2022-12-21,203.68,207.5,202.54,204.3,204.3,134600,-20.04,36.58,34.05
2022-12-20,199.73,205.23,197.11,203.39,203.39,196200,-22.67,35.71,37.08
2022-12-19,202.0,203.36,196.87,199.97,199.97,222600,-20.22,32.47,59.21
2022-12-16,205.11,207.42,199.46,201.11,201.11,770500,-28.74,32.98,55.05
2022-12-15,209.4,209.4,205.09,206.27,206.27,164200,-33.72,35.33,59.83
2022-12-14,216.03,219.02,210.87,211.65,211.65,174200,-27.84,37.95,62.55
2022-12-13,221.77,223.37,216.49,217.12,217.12,276800,-13.38,40.81,65.77
2022-12-12,216.73,218.72,213.28,214.93,214.93,244000,-4.09,39.11,65.76
2022-12-09,222.8,222.95,216.75,217.05,217.05,277400,-13.72,40.15,63.70
2022-12-08,226.45,232.78,223.96,224.34,224.34,113200,-19.34,43.87,64.49
2022-12-07,220.19,227.95,220.01,226.06,226.06,201700,-13.69,44.78,61.55
2022-12-06,230.5,230.5,219.66,220.19,220.19,217600,-18.46,40.89,61.75
2022-12-05,238.05,238.47,226.5,229.85,229.85,163400,-1.15,45.82,66.31
2022-12-02,238.4,243.61,236.23,239.99,239.99,186500,0.13,51.91,65.61
2022-12-01,230.55,240.16,230.55,239.49,239.49,261800,-1.91,51.62,66.33
2022-11-30,219.72,232.16,218.48,230.5,230.5,1966200,-16.06,46.11,66.70
2022-11-29,231.46,231.6,215.62,219.02,219.02,594600,-29.22,37.69,45.35
2022-11-28,240.0,242.57,229.69,230.77,230.77,241700,-7.54,44.26,47.66
2022-11-25,238.53,245.53,237.72,243.68,243.68,108400,3.96,53.83,47.05
2022-11-23,237.36,245.15,235.59,239.75,239.75,147200,4.25,50.83,42.81
2022-11-22,231.92,239.88,231.92,238.65,238.65,255500,15.44,49.98,43.46
2022-11-21,240.95,248.35,230.34,231.0,231.0,377600,4.80,43.72,36.92
2022-11-18,242.78,243.26,235.97,239.86,239.86,193700,12.47,50.52,45.23
2022-11-17,242.72,244.96,239.41,241.4,241.4,162000,8.39,51.82,52.41
2022-11-16,248.59,251.85,245.52,246.56,246.56,207500,8.70,56.33,51.19
2022-11-15,241.21,249.14,238.14,248.24,248.24,258600,12.43,57.85,41.79
2022-11-14,239.42,241.49,231.19,238.31,238.31,213400,-2.66,50.51,34.74
2022-11-11,237.49,242.03,235.19,239.72,239.72,294900,-1.73,51.70,39.70
2022-11-10,230.33,236.84,230.33,235.5,235.5,323100,-5.07,48.32,32.35
2022-11-09,225.79,226.46,220.65,223.21,223.21,212200,-12.60,36.27,29.71
2022-11-08,227.44,228.55,224.04,226.2,226.2,403300,-22.20,38.28,29.92
2022-11-07,233.64,234.25,225.34,227.39,227.39,292700,-25.24,39.09,32.02
2022-11-04,238.96,238.96,228.13,233.01,233.01,194800,-16.76,43.05,39.86
2022-11-03,233.95,242.34,233.95,237.86,237.86,188600,-15.78,46.85,46.66
2022-11-02,240.26,241.49,233.71,235.81,235.81,193900,-10.49,44.94,41.43
2022-11-01,241.96,244.24,239.04,240.97,240.97,215000,-7.92,49.07,50.35
2022-10-31,238.61,243.39,238.61,241.45,241.45,282700,-11.55,49.46,44.97
2022-10-28,239.34,242.48,237.09,240.57,240.57,243500,-11.76,48.76,37.38
2022-10-27,258.44,260.98,229.01,235.81,235.81,477700,-6.24,44.95,37.32
2022-10-26,251.64,254.02,245.71,248.4,248.4,251200,-2.42,55.00,40.19
2022-10-25,250.85,258.96,250.8,252.63,252.63,158700,8.50,59.12,49.82
2022-10-24,254.65,254.65,246.26,249.77,249.77,215300,2.64,57.10,51.40
2022-10-21,245.15,254.78,244.66,253.64,253.64,171600,3.84,60.88,58.76
2022-10-20,251.44,252.85,243.29,246.3,246.3,168000,-7.11,55.72,58.91
2022-10-19,250.35,250.35,245.67,248.89,248.89,148500,-5.06,58.23,64.92
2022-10-18,257.35,258.76,249.76,253.0,253.0,223800,-3.23,62.39,63.59
2022-10-17,247.1,253.42,244.31,252.33,252.33,231100,2.28,61.98,63.97
2022-10-14,251.26,252.78,241.14,242.05,242.05,141800,-1.14,54.98,65.57
2022-10-13,240.0,251.01,238.91,250.82,250.82,370300,12.62,64.36,70.26
2022-10-12,246.78,247.77,240.4,244.13,244.13,138900,10.05,59.46,62.88
2022-10-11,250.29,252.09,244.41,247.13,247.13,190200,7.48,63.07,62.69
2022-10-10,252.82,252.82,245.77,249.8,249.8,239700,17.13,66.41,63.28
2022-10-07,252.36,255.93,248.66,253.41,253.41,237600,31.93,71.12,65.31
2022-10-06,256.0,263.59,252.64,253.95,253.95,295700,31.80,71.83,72.89
2022-10-05,248.97,256.58,245.79,256.23,256.23,253700,32.92,74.76,74.73
2022-10-04,245.11,250.17,243.6,250.05,250.05,235200,24.79,71.88,69.11
2022-10-03,239.87,244.99,238.7,243.19,243.19,189900,16.95,68.13,69.07
2022-09-30,235.09,240.0,235.0,238.2,238.2,226800,7.19,64.98,69.99
2022-09-29,238.66,240.56,230.14,234.08,234.08,225800,7.71,62.10,69.60
2022-09-28,233.53,240.06,229.19,239.65,239.65,275700,16.54,69.23,75.50
2022-09-27,224.62,234.02,222.65,232.67,232.67,413100,5.67,64.49,74.17
2022-09-26,221.05,225.14,219.75,221.48,221.48,225100,-3.72,53.91,71.62
2022-09-23,220.5,222.44,216.81,222.15,222.15,209700,-3.48,54.82,66.69
2022-09-22,223.52,224.57,220.45,223.31,223.31,162900,1.90,56.35,72.78
2022-09-21,228.26,230.07,223.7,225.26,225.26,175000,9.58,58.90,73.74
2022-09-20,230.46,232.29,222.15,226.24,226.24,153200,13.24,60.18,79.92
2022-09-19,223.4,231.26,223.4,231.01,231.01,245900,23.16,66.71,81.63
2022-09-16,221.0,227.34,217.38,226.37,226.37,591400,17.80,63.09,75.30
2022-09-15,226.33,226.77,220.65,223.11,223.11,174100,15.00,60.28,65.70
2022-09-14,225.05,228.58,224.22,227.0,227.0,252400,16.40,65.84,68.00
2022-09-13,221.05,229.59,221.05,225.2,225.2,313300,18.46,64.43,66.03
2022-09-12,222.52,227.67,222.52,225.63,225.63,192200,12.12,65.03,56.49
2022-09-09,216.33,221.88,216.12,221.41,221.41,154000,5.26,61.81,47.95
2022-09-08,210.92,216.58,210.92,215.68,215.68,111700,-0.95,56.79,47.95
2022-09-07,207.02,213.38,207.02,213.0,213.0,126700,-5.48,54.18,50.13
2022-09-06,207.38,209.18,204.37,207.85,207.85,125500,-7.18,48.64,44.21
2022-09-02,208.81,211.63,207.59,208.57,208.57,121100,-6.56,49.42,44.72
2022-09-01,209.61,209.61,203.01,208.11,208.11,134800,-15.74,48.93,44.37
2022-08-31,206.82,211.07,206.82,210.6,210.6,181800,-16.28,51.40,51.75
2022-08-30,212.94,212.94,205.52,206.74,206.74,102800,-10.27,47.60,50.91
2022-08-29,215.0,215.78,213.12,213.51,213.51,158000,-1.60,54.55,58.64
2022-08-26,215.12,217.87,211.41,216.15,216.15,85900,-2.58,57.60,54.25
2022-08-25,218.77,218.93,215.14,216.63,216.63,103900,0.24,58.15,50.69
2022-08-24,215.47,218.97,214.34,218.48,218.48,138100,5.48,60.20,50.25
2022-08-23,214.44,216.45,211.19,215.03,215.03,94500,6.69,57.61,49.81
2022-08-22,220.97,220.97,212.96,215.13,215.13,105400,15.04,57.71,55.01
2022-08-19,224.47,229.27,221.36,223.85,223.85,150600,16.30,67.27,59.99
2022-08-18,217.61,229.6,217.31,226.88,226.88,178700,13.76,71.06,59.98
2022-08-17,212.57,217.59,211.3,217.01,217.01,84100,4.26,65.11,59.54
2022-08-16,216.88,220.24,214.85,215.11,215.11,99900,5.16,63.77,63.76
2022-08-15,216.61,220.54,214.72,218.73,218.73,105400,10.89,68.40,69.03
2022-08-12,213.09,218.96,213.0,216.39,216.39,124900,10.95,66.96,64.32
2022-08-11,210.95,216.95,206.97,213.0,213.0,149500,8.91,64.80,59.39
2022-08-10,201.95,209.48,200.16,208.34,208.34,183400,13.19,61.61,58.11
2022-08-09,207.55,211.24,195.65,200.09,200.09,319700,4.08,54.88,56.25
2022-08-08,215.0,216.15,206.38,207.55,207.55,225600,26.57,64.35,69.53
2022-08-05,209.25,213.66,204.12,213.12,213.12,125500,30.68,73.11,81.40
2022-08-04,210.69,213.55,208.29,212.75,212.75,123400,30.85,72.88,88.90
2022-08-03,206.94,210.68,204.27,209.95,209.95,125800,27.65,71.16,88.73
2022-08-02,203.76,209.42,203.76,207.84,207.84,103300,27.31,69.83,82.30
2022-08-01,203.18,206.53,198.3,205.44,205.44,166200,26.54,68.28,77.10
2022-07-29,195.83,204.68,195.83,204.09,204.09,175200,28.79,67.40,69.64
2022-07-28,195.01,195.5,192.75,195.15,195.15,99500,19.03,60.75,67.68
2022-07-27,182.85,197.41,182.85,196.01,196.01,140100,20.02,61.88,59.57
2022-07-26,182.66,182.66,178.06,180.98,180.98,110700,2.33,45.42,50.63
2022-07-25,181.63,183.19,180.05,182.44,182.44,101200,2.66,47.26,58.57
2022-07-22,183.08,184.31,179.95,181.9,181.9,101500,-6.69,46.51,65.56
2022-07-21,181.0,184.4,178.58,182.3,182.3,109200,-5.22,46.97,66.98
2022-07-20,177.93,182.27,176.77,180.53,180.53,159100,-7.35,44.74,57.03
2022-07-19,176.54,179.76,174.61,178.9,178.9,154600,-12.44,42.69,49.96
2022-07-18,178.41,181.2,174.57,175.3,175.3,136200,-15.75,37.95,42.61
2022-07-15,177.01,179.21,174.2,176.12,176.12,118000,-15.12,38.63,41.99
